 ,Label,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
592,2015-08-09-20150731DJ-1-B.tif,8.944E0,3.262E1,5.572E0,8.405E1,9.832E1,8.200E1,3.893E0
593,2015-08-09-20150731DJ-1-B.tif,2.137E-1,2.447E0,9.062E-1,8.405E1,9.677E1,6.465E1,4.707E-1
594,2015-08-09-20150731DJ-10-B.tif,1.243E2,6.314E1,1.378E1,7.927E1,9.082E1,1.097E2,1.261E1
595,2015-08-09-20150731DJ-11-B.tif,1.367E2,6.362E1,1.499E1,7.013E1,8.970E1,1.261E2,1.231E1
596,2015-08-09-20150731DJ-12-B.tif,1.401E2,7.061E1,1.508E1,7.539E1,8.578E1,1.200E2,1.303E1
597,2015-08-09-20150731DJ-13-B.tif,1.300E2,7.088E1,1.423E1,7.466E1,9.237E1,1.159E2,1.274E1
598,2015-08-09-20150731DJ-14-B.tif,1.412E2,6.443E1,1.461E1,6.780E1,9.655E1,1.436E2,1.311E1
599,2015-08-09-20150731DJ-15-B.tif,1.249E2,6.796E1,1.381E1,7.862E1,1.045E2,7.957E1,1.240E1
600,2015-08-09-20150731DJ-15-B.tif,1.078E-1,2.096E0,7.771E-1,7.720E1,1.037E2,1.606E2,2.586E-1
601,2015-08-09-20150731DJ-16-B.tif,1.471E2,6.926E1,1.477E1,7.233E1,8.828E1,1.263E2,1.336E1
602,2015-08-09-20150731DJ-17-B.tif,1.280E2,6.792E1,1.432E1,7.220E1,9.108E1,1.412E2,1.226E1
603,2015-08-09-20150731DJ-18-B.tif,1.274E2,6.330E1,1.407E1,7.711E1,8.789E1,1.154E2,1.225E1
604,2015-08-09-20150731DJ-19-B.tif,1.102E2,6.832E1,1.307E1,8.013E1,8.435E1,1.063E2,1.167E1
605,2015-08-09-20150731DJ-19-B.tif,1.579E-1,2.275E0,7.174E-1,7.922E1,9.629E1,1.473E2,4.265E-1
606,2015-08-09-20150731DJ-2-B.tif,2.941E0,1.413E1,2.977E0,7.858E1,8.897E1,3.438E1,2.081E0
607,2015-08-09-20150731DJ-2-B.tif,4.708E1,9.887E1,1.079E1,7.405E1,9.448E1,3.128E1,8.936E0
608,2015-08-09-20150731DJ-2-B.tif,2.397E-1,2.924E0,1.028E0,8.082E1,8.841E1,1.470E2,6.110E-1
609,2015-08-09-20150731DJ-2-B.tif,1.728E-1,2.691E0,8.291E-1,7.703E1,9.211E1,8.103E1,5.195E-1
610,2015-08-09-20150731DJ-2-B.tif,1.282E-1,2.634E0,8.791E-1,7.884E1,9.306E1,1.013E2,3.448E-1
611,2015-08-09-20150731DJ-20-B.tif,1.087E2,5.712E1,1.266E1,7.539E1,9.147E1,1.291E2,1.162E1
612,2015-08-09-20150731DJ-21-B.tif,1.152E2,6.199E1,1.320E1,6.961E1,9.138E1,1.233E2,1.211E1
613,2015-08-09-20150731DJ-22-B.tif,1.353E2,6.209E1,1.498E1,7.897E1,1.012E2,8.073E1,1.265E1
614,2015-08-09-20150731DJ-23-B.tif,1.190E2,5.849E1,1.377E1,7.060E1,9.034E1,1.313E2,1.170E1
615,2015-08-09-20150731DJ-24-B.tif,1.134E2,6.571E1,1.363E1,7.466E1,8.647E1,1.234E2,1.174E1
616,2015-08-09-20150731DJ-25-B.tif,1.068E2,8.759E1,1.295E1,7.573E1,9.720E1,3.470E1,1.194E1
617,2015-08-09-20150731DJ-26-B.tif,1.170E2,8.889E1,1.334E1,6.875E1,9.543E1,1.683E2,1.280E1
618,2015-08-09-20150731DJ-27-B.tif,1.127E2,8.097E1,1.391E1,7.595E1,8.862E1,1.016E2,1.167E1
619,2015-08-09-20150731DJ-28-B.tif,9.745E1,8.917E1,1.271E1,8.168E1,9.871E1,8.572E1,1.140E1
620,2015-08-09-20150731DJ-28-B.tif,2.229E-1,3.326E0,1.157E0,8.539E1,8.841E1,2.657E1,4.636E-1
621,2015-08-09-20150731DJ-29-B.tif,9.339E1,7.195E1,1.192E1,7.207E1,9.724E1,5.102E1,1.119E1
622,2015-08-09-20150731DJ-3-B.tif,5.499E1,2.022E2,1.509E1,7.284E1,9.616E1,4.129E1,1.113E1
623,2015-08-09-20150731DJ-3-B.tif,1.301E-1,2.066E0,7.109E-1,8.522E1,8.672E1,7.596E1,3.720E-1
624,2015-08-09-20150731DJ-3-B.tif,1.709E-1,2.432E0,6.691E-1,8.591E1,8.884E1,1.651E2,5.160E-1
625,2015-08-09-20150731DJ-3-B.tif,2.787E-1,2.691E0,9.522E-1,8.582E1,8.927E1,9.519E1,5.172E-1
626,2015-08-09-20150731DJ-3-B.tif,1.434E0,1.119E1,2.463E0,7.681E1,9.164E1,1.471E2,1.243E0
627,2015-08-09-20150731DJ-3-B.tif,2.044E-1,3.620E0,9.255E-1,7.233E1,9.259E1,2.776E1,6.034E-1
628,2015-08-09-20150731DJ-3-B.tif,1.115E-1,1.701E0,6.126E-1,7.194E1,9.241E1,1.293E2,3.565E-1
629,2015-08-09-20150731DJ-3-B.tif,1.672E-1,3.132E0,1.006E0,7.754E1,9.276E1,9.987E1,5.867E-1
630,2015-08-09-20150731DJ-3-B.tif,1.654E-1,2.249E0,7.366E-1,7.177E1,9.358E1,2.056E1,3.879E-1
631,2015-08-09-20150731DJ-3-B.tif,1.022E-1,1.528E0,4.819E-1,7.698E1,9.414E1,6.343E1,3.537E-1
632,2015-08-09-20150731DJ-30-B.tif,9.496E1,4.475E1,1.217E1,8.203E1,9.082E1,1.486E2,1.079E1
633,2015-08-09-20150731DJ-30-B.tif,2.044E-1,2.777E0,1.145E0,8.961E1,9.884E1,1.980E1,3.886E-1
634,2015-08-09-20150731DJ-30-B.tif,1.895E-1,3.336E0,1.227E0,8.866E1,9.935E1,1.843E1,4.050E-1
635,2015-08-09-20150731DJ-31-B.tif,1.077E2,6.847E1,1.315E1,7.629E1,1.042E2,8.341E1,1.172E1
636,2015-08-09-20150731DJ-32-B.tif,1.157E2,6.872E1,1.332E1,7.776E1,1.009E2,6.203E1,1.201E1
637,2015-08-09-20150731DJ-33-B.tif,1.212E2,6.799E1,1.365E1,7.190E1,8.892E1,1.443E2,1.239E1
638,2015-08-09-20150731DJ-34-B.tif,1.210E2,6.608E1,1.400E1,7.948E1,9.784E1,5.465E1,1.228E1
639,2015-08-09-20150731DJ-34-B.tif,1.542E-1,2.899E0,7.866E-1,8.444E1,9.841E1,1.705E2,5.547E-1
640,2015-08-09-20150731DJ-35-B.tif,1.252E2,7.054E1,1.421E1,7.224E1,8.931E1,1.328E2,1.270E1
641,2015-08-09-20150731DJ-36-B.tif,9.631E1,7.012E1,1.296E1,7.435E1,8.754E1,1.021E2,1.108E1
642,2015-08-09-20150731DJ-37-B.tif,1.752E2,7.333E1,1.610E1,7.599E1,8.767E1,1.337E2,1.490E1
643,2015-08-09-20150731DJ-38-B.tif,1.889E2,8.134E1,1.672E1,7.694E1,8.703E1,1.377E2,1.554E1
644,2015-08-09-20150731DJ-39-B.tif,2.061E2,7.875E1,1.774E1,7.112E1,8.401E1,1.156E2,1.574E1
645,2015-08-09-20150731DJ-4-B.tif,6.109E1,6.711E1,1.096E1,8.060E1,9.905E1,8.072E1,9.488E0
646,2015-08-09-20150731DJ-4-B.tif,1.338E-1,1.787E0,6.126E-1,8.056E1,8.849E1,1.293E2,4.635E-1
647,2015-08-09-20150731DJ-4-B.tif,1.170E-1,2.218E0,8.178E-1,7.966E1,8.957E1,7.157E1,3.032E-1
648,2015-08-09-20150731DJ-40-B.tif,1.783E2,7.620E1,1.642E1,7.409E1,9.841E1,6.795E1,1.493E1
649,2015-08-09-20150731DJ-41-B.tif,1.895E2,7.576E1,1.628E1,7.591E1,8.703E1,1.132E2,1.559E1
650,2015-08-09-20150731DJ-42-B.tif,1.931E2,7.685E1,1.674E1,7.401E1,8.927E1,1.215E2,1.559E1
651,2015-08-09-20150731DJ-43-B.tif,1.408E2,6.700E1,1.411E1,7.996E1,8.599E1,1.082E2,1.335E1
652,2015-08-09-20150731DJ-44-B.tif,1.160E2,5.344E1,1.305E1,7.621E1,8.806E1,1.237E2,1.189E1
653,2015-08-09-20150731DJ-45-B.tif,1.382E2,6.008E1,1.474E1,7.086E1,9.065E1,1.318E2,1.301E1
654,2015-08-09-20150731DJ-45-B.tif,2.118E-1,4.000E0,9.686E-1,7.134E1,1.004E2,1.223E2,6.335E-1
655,2015-08-09-20150731DJ-46-B.tif,1.268E2,5.065E1,1.363E1,7.845E1,8.888E1,1.131E2,1.234E1
656,2015-08-09-20150731DJ-46-B.tif,3.381E-1,3.990E0,1.409E0,8.155E1,1.020E2,2.343E1,4.030E-1
657,2015-08-09-20150731DJ-47-B.tif,1.380E2,6.520E1,1.485E1,7.668E1,9.134E1,1.227E2,1.273E1
658,2015-08-09-20150731DJ-48-B.tif,1.380E2,6.281E1,1.433E1,7.836E1,8.892E1,9.293E1,1.305E1
659,2015-08-09-20150731DJ-49-B.tif,1.697E2,6.535E1,1.652E1,7.319E1,8.728E1,1.105E2,1.392E1
660,2015-08-09-20150731DJ-5-B.tif,5.533E1,1.011E2,1.129E1,7.784E1,8.797E1,1.599E2,9.653E0
661,2015-08-09-20150731DJ-50-B.tif,1.471E2,7.179E1,1.465E1,8.293E1,8.789E1,9.744E1,1.358E1
662,2015-08-09-20150731DJ-51-B.tif,1.519E2,8.159E1,1.509E1,7.228E1,9.237E1,1.785E2,1.349E1
663,2015-08-09-20150731DJ-52-B.tif,1.486E2,6.152E1,1.534E1,7.474E1,9.065E1,1.365E2,1.345E1
664,2015-08-09-20150731DJ-53-B.tif,1.397E2,6.745E1,1.439E1,7.151E1,9.207E1,1.486E2,1.288E1
665,2015-08-09-20150731DJ-54-B.tif,1.359E2,5.697E1,1.469E1,7.319E1,9.466E1,1.528E2,1.246E1
666,2015-08-09-20150731DJ-6-B.tif,4.843E1,1.083E2,1.109E1,7.784E1,8.884E1,9.245E1,9.320E0
667,2015-08-09-20150731DJ-6-B.tif,5.927E-1,6.042E0,1.811E0,7.655E1,9.026E1,3.823E1,7.875E-1
668,2015-08-09-20150731DJ-6-B.tif,6.001E-1,7.032E0,1.393E0,7.457E1,9.155E1,1.582E2,1.010E0
669,2015-08-09-20150731DJ-6-B.tif,1.133E-1,2.224E0,7.674E-1,7.595E1,9.233E1,5.184E1,3.856E-1
670,2015-08-09-20150731DJ-6-B.tif,1.189E-1,1.980E0,6.480E-1,8.220E1,9.207E1,1.762E2,4.188E-1
671,2015-08-09-20150731DJ-7-B.tif,1.349E2,5.954E1,1.426E1,7.293E1,8.961E1,1.128E2,1.296E1
672,2015-08-09-20150731DJ-8-B.tif,9.282E1,8.454E1,1.231E1,7.616E1,9.172E1,1.353E2,1.152E1
673,2015-08-09-20150731DJ-9-B.tif,1.365E2,7.239E1,1.431E1,7.371E1,8.875E1,1.188E2,1.318E1
674,2015-08-10-20150731DJ-1-B.tif,6.037E1,8.145E1,1.167E1,7.375E1,9.578E1,1.630E2,1.035E1
675,2015-08-10-20150731DJ-10-B.tif,1.422E2,5.999E1,1.468E1,7.491E1,8.970E1,1.132E2,1.310E1
676,2015-08-10-20150731DJ-11-B.tif,1.537E2,6.757E1,1.607E1,7.237E1,9.366E1,1.332E2,1.297E1
677,2015-08-10-20150731DJ-12-B.tif,1.553E2,6.753E1,1.650E1,7.409E1,9.112E1,1.196E2,1.341E1
678,2015-08-10-20150731DJ-13-B.tif,1.453E2,6.073E1,1.494E1,7.629E1,9.147E1,1.158E2,1.308E1
679,2015-08-10-20150731DJ-14-B.tif,1.539E2,6.371E1,1.554E1,6.797E1,1.012E2,1.463E2,1.354E1
680,2015-08-10-20150731DJ-15-B.tif,1.405E2,6.782E1,1.475E1,7.444E1,9.647E1,1.177E2,1.319E1
681,2015-08-10-20150731DJ-16-B.tif,1.521E2,6.030E1,1.488E1,6.927E1,9.983E1,1.598E2,1.345E1
682,2015-08-10-20150731DJ-17-B.tif,1.402E2,6.332E1,1.493E1,7.310E1,9.659E1,1.399E2,1.273E1
683,2015-08-10-20150731DJ-18-B.tif,1.410E2,5.873E1,1.476E1,8.134E1,9.073E1,9.301E1,1.291E1
684,2015-08-10-20150731DJ-19-B.tif,1.214E2,5.488E1,1.364E1,8.129E1,9.060E1,1.067E2,1.209E1
685,2015-08-10-20150731DJ-2-B.tif,6.034E1,9.326E1,1.100E1,7.384E1,9.737E1,2.470E0,9.927E0
686,2015-08-10-20150731DJ-2-B.tif,1.709E-1,2.949E0,9.848E-1,7.556E1,9.366E1,1.568E2,4.536E-1
687,2015-08-10-20150731DJ-20-B.tif,1.222E2,5.259E1,1.333E1,7.375E1,9.254E1,1.325E2,1.224E1
688,2015-08-10-20150731DJ-20-B.tif,1.078E-1,3.010E0,6.815E-1,7.741E1,1.034E2,1.616E2,5.500E-1
689,2015-08-10-20150731DJ-21-B.tif,1.182E2,5.144E1,1.331E1,7.272E1,9.802E1,1.605E2,1.185E1
690,2015-08-10-20150731DJ-22-B.tif,1.461E2,5.836E1,1.538E1,8.078E1,1.069E2,8.064E1,1.323E1
691,2015-08-10-20150731DJ-23-B.tif,1.217E2,5.567E1,1.388E1,7.401E1,9.707E1,1.331E2,1.191E1
692,2015-08-10-20150731DJ-24-B.tif,1.187E2,5.657E1,1.390E1,7.603E1,9.371E1,1.314E2,1.175E1
693,2015-08-10-20150731DJ-25-B.tif,1.118E2,8.773E1,1.323E1,7.578E1,1.028E2,3.545E1,1.219E1
694,2015-08-10-20150731DJ-26-B.tif,1.225E2,8.515E1,1.364E1,6.897E1,1.010E2,1.685E2,1.280E1
695,2015-08-10-20150731DJ-27-B.tif,1.197E2,8.124E1,1.415E1,7.767E1,8.828E1,1.081E2,1.196E1
696,2015-08-10-20150731DJ-28-B.tif,1.054E2,8.297E1,1.327E1,7.780E1,1.055E2,7.971E1,1.220E1
697,2015-08-10-20150731DJ-29-B.tif,1.049E2,8.014E1,1.255E1,7.836E1,1.021E2,5.156E1,1.178E1
698,2015-08-10-20150731DJ-3-B.tif,5.721E1,1.993E2,1.527E1,7.422E1,1.038E2,4.420E1,1.125E1
699,2015-08-10-20150731DJ-3-B.tif,1.932E-1,3.042E0,9.214E-1,8.603E1,9.366E1,7.922E1,4.652E-1
